iter	Logloss
0	0.6896926072
1	0.6861565745
2	0.6829817312
3	0.6796058473
4	0.676493717
55	0.674606709166	0.67197587187	0.6678166456
8	0.6652517775
9	0.6625155458
10	0.6602042614
11	0.657792557
12	0.655666753
13	0.6534270395
14	0.6514645601
15	0.6494906514
16	0.6476807795
17	0.6457749441
18	0.643962794
19	0.6421640001
20	0.640552151
21	0.6389814913
22	0.6376725312
23	0.6361088529
24	0.6347743058
25	0.6334683849
26	0.6320303354
27	0.6307562492
28	0.6294394319
29	0.6284676779
30	0.6272942595
31	0.6261638044
32	0.6251297743
33	0.6241127357
34	0.6231552645
35	0.6221904395
3636	0.6207891163737	0.6199912623838	0.6191728937
39	0.6183543774040	0.61755990041	0.6172142504
42	0.616560717
43	0.6158046414
44	0.6151394974
45	0.6144320346
46	0.6138950006447	0.6133714855
48	0.6128720876
49	0.6123010502
50	0.6116810486
51	0.61107545
52	0.6105645132
53	0.6100965318
54	0.6095783097
55	0.6091397745
56	0.6086775184
57	0.6081816356
58	0.6077623847
59	0.6073704842
60	0.6069507061
61	0.6065336138
62	0.606235986
63	0.6059018786
64	0.6055308214
65	0.605284147
66	0.6049350678
67	0.6046064638
68	0.6043383494
69	0.6040948821
70	0.6037707733
71	0.603532739
72	0.6032781856
73	0.6030401784
74	0.6028030768
75	0.6025224286
76	0.6022468087
77	0.602064335
78	0.6017811146
79	0.6015106515
80	0.6012539409
81	0.6010982944
82	0.6009087371
83	0.6007279688
84	0.6004939706
85	0.685	0.5996586	0.6001128152
87	0.5999361063
88	0.5997241961
89	0.5995256425
90	0.5993602393
91	0.5992127523
92	0.5990348326
93	0.5988732225
94	0.5986940265
95	0.5985680435
96	0.5984694879
97	0.5983280847
98	0.5981757482
99	0.5979924302
100	0.5978163846
101	0.5977198169
102	0.5976142275
103	0.5974530501
104	0.597316921
105	0.5972121792
106	0.5971174696
107	0.5970048953
108	0.5968810521
109	0.5967589983
110	0.5966654588
111	0.5965620369
112	0.5964507273
113	0.5963631497
114	0.5962820856
115	0.5961775365
116	0.5960761855
117	0.5959926889
118	0.5959039012
119	0.5958257354
120	0.5957152034
121	0.5956170413
122	0.5955254553
123	0.5954423308
124	0.5953786718
125	0.5953144065
126	0.5952263199
127	0.5951225061
128	0.5950622492
129	0.5949784214
130	0.594921401
131	0.5948748105
132	0.594759594
133	0.5946838977
134	0.594637086
135	0.5945455889
136	0.5944516943
137	0.5944033526
138	0.5943127453
139	0.5942420277
140	0.5941889948
141	0.5940980665
142	0.5940263485
143	0.5939639334
144	0.5938810574
145	0.5938148856
146	0.5937426093
147	0.593646793
148	0.5935758982
149	0.5934953666
150	0.5934371752
151	0.5933811246
152	0.5933115302
153	0.59323317615154	0.59318239215155	0.59313093815156	0.5930621993
157	0.5930092058
158	0.5929555091
159	0.5929078061
160	0.5928520352
161	0.5928000501
162	0.5927617203
163	0.5927104696
164	0.5926740575
165	0.5926051517
166	0.5925584699
167	0.5925135844
168	0.59245771
169	0.5924275337
170	0.5923677089
171	0.5923192987
172	0.5922731567
173	0.5922207247
174	0.5921736821
175	0.5921146933
176	0.5920705395
177	0.5920239604
178	0.591971777
179	0.5919417086
180	0.5918506273
181	0.5918078008
182	0.5917507002
183	0.5917005855
184	0.5916444497
185	0.5916041159
186	0.5915663185
187	0.5915190042
188	0.5914906247
189	0.5914728842
190	0.5914190555
191	0.5913749121
192	0.5913179796
193	0.5912659148
194	0.5912251818
195	0.5911864209
196	0.5911413757
197	0.5910785697
198	0.5910361402
199	0.5910029872
200	0.590951948
201	0.5909124771
202	0.5908543783
203	0.5908138164
204	0.5907653918
205	0.5907012411
206	0.5906574446
207	0.5906203444
208	0.5905570116
209	0.5905062153
210	0.5904762996
211	0.590428423
212	0.5903817869
213	0.5903343074
214	0.5903149484
215	0.5902644829
216	0.5902228634
217	0.5901845448
218	0.5901480099
219	0.5901076644
220	0.5900611443
221	0.5900344869
222	0.5899791195
223	0.5899068166
224	0.5898671528
225	0.5898128059
226	0.5897556701
227	0.5897275622
228	0.5896775685
229	0.589629842
230	0.5895994924
231	0.5895244315
232	0.5894969993
233	0.5894446827
234	0.589407021
235	0.5893719737
236	0.5893231412
237	0.5892870527
238	0.5892288813
239	0.5891771114
240	0.5891541867
241	0.5891067351
242	0.5890731648
243	0.5890139607
244	0.5889736469
245	0.588948934
246	0.5889092639
247	0.5888703909
248	0.5888439504
249	0.5887980829
250	0.5887274467
251	0.5886818441
252	0.5886298885
253	0.5885883275
254	0.5885568791
255	0.5885184301
256	0.5884768549
257	0.588412838
258	0.5883595725
259	0.5883047191
260	0.588272917
261	0.58823793
262	0.5881716237
263	0.5881364351
264	0.5880852838
265	0.5880301341
266	0.5879849495
267	0.5879411184
268	0.5878869213
269	0.5878485952
270	0.5877888301
271	0.5877603023
272	0.5877192057
273	0.5876859402
274	0.587627271
275	0.5875863567
276	0.5875478591
277	0.5875091578
278	0.5874502819
279	0.5874065725
280	0.5873772944
281	0.5873514159
282	0.5873234756
283	0.5872818172
284	0.5872489131
285	0.5872039466
286	0.5871705119
287	0.5871288732
288	0.5871012961
289	0.5870685794
290	0.5870207958
291	0.586990689
292	0.5869719863
293	0.5869196356
294	0.5868825049
295	0.5868475725
296	0.5868254824
297	0.5868097779
298	0.5867499518
299	0.5867034113
786
